Comunidad,Conteo_limpio,habitaciones,descuento,suma_con_habitaciones,porcentaje_habitaciones,suma_con_descuento,porcentaje_descuento
andalucia,100,61,19,161,62.11180124223602,119,15.966386554621847
aragon,78,72,14,150,52.0,92,15.217391304347828
asturias,92,55,13,147,62.585034013605444,105,12.380952380952381
baleares,119,48,8,167,71.25748502994011,127,6.299212598425196
cantabria,89,63,10,152,58.55263157894737,99,10.1010101010101
castilla_la_mancha,97,88,14,185,52.43243243243243,111,12.612612612612612
castilla_y_leon,89,76,27,165,53.939393939393945,116,23.275862068965516
cataluña,92,76,18,168,54.761904761904766,110,16.363636363636363
ceuta,86,46,13,132,65.15151515151516,99,13.131313131313133
comunidad_valenciana,133,49,12,182,73.07692307692307,145,8.275862068965518
extremadura,71,86,17,157,45.22292993630573,88,19.318181818181817
galicia,82,67,13,149,55.033557046979865,95,13.684210526315791
la_rioja,75,82,9,157,47.77070063694268,84,10.714285714285714
madrid,153,9,19,162,94.44444444444444,172,11.046511627906977
melilla,82,56,2,138,59.42028985507246,84,2.380952380952381
murcia,105,51,15,156,67.3076923076923,120,12.5
navarra,92,73,11,165,55.757575757575765,103,10.679611650485436
pais_vasco,95,56,11,151,62.913907284768214,106,10.377358490566039
valencia,137,24,6,161,85.09316770186336,143,4.195804195804196
