Comunidad,Conteo_limpio,habitaciones,descuento,suma_con_habitaciones,porcentaje_habitaciones,suma_con_descuento,porcentaje_descuento,suma_total
andalucia,100,61,19,161,33.88888888888889,119,10.555555555555555,180
aragon,78,72,14,150,43.90243902439025,92,8.536585365853659,164
asturias,92,55,13,147,34.375,105,8.125,160
baleares,119,48,8,167,27.42857142857143,127,4.571428571428571,175
cantabria,89,63,10,152,38.88888888888889,99,6.172839506172839,162
castilla_la_mancha,97,88,14,185,44.221105527638194,111,7.035175879396985,199
castilla_y_leon,89,76,27,165,39.58333333333333,116,14.0625,192
cataluña,92,76,18,168,40.86021505376344,110,9.67741935483871,186
ceuta,86,46,13,132,31.724137931034484,99,8.96551724137931,145
comunidad_valenciana,133,49,12,182,25.257731958762886,145,6.185567010309279,194
extremadura,71,86,17,157,49.42528735632184,88,9.770114942528735,174
galicia,82,67,13,149,41.358024691358025,95,8.024691358024691,162
la_rioja,75,82,9,157,49.39759036144578,84,5.421686746987952,166
madrid,153,9,19,162,4.972375690607735,172,10.497237569060774,181
melilla,82,56,2,138,40.0,84,1.4285714285714286,140
murcia,105,51,15,156,29.82456140350877,120,8.771929824561402,171
navarra,92,73,11,165,41.47727272727273,103,6.25,176
pais_vasco,95,56,11,151,34.5679012345679,106,6.790123456790123,162
valencia,137,24,6,161,14.37125748502994,143,3.592814371257485,167
